config_id,repeat,best_cost_minutes,found_at_iteration,execution_time,ants,iterations,alpha,beta,evaporation,patience,patience_small_shake,patience_big_shake,big_shake_evaporation,big_shake_duration,intensity_small_shake,intensity_big_shake,intensity_elite_ant,ranked_ants_count,q_pheromone,tau_min,tau_max
9,8,1269.5621182,1049,21.74,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,9,1228.8950844166668,1118,23.32,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
9,10,1268.12530975,1581,32.68,40,5000,0.5,2.0,0.05,800,999999,150,0.4,30,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
10,1,1265.80751025,1562,32.22,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,2,1180.5382292166667,2132,44.35,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,3,1233.4771427666667,3041,63.46,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,4,1264.9912897166666,1384,29.66,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,5,1167.1301369833334,1744,36.82,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,6,1099.9619167833332,4215,91.12,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,7,1257.5216542333333,1549,32.82,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,8,1186.2740970333332,3223,68.15,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,9,1261.7421094833335,1315,27.93,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
10,10,1199.1868943666666,1472,32.02,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
11,1,1254.5005594166664,2258,48.29,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,2,1150.6478070333333,2365,50.05,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,3,1265.5949515333334,1674,35.2,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,4,1300.4177184666667,1347,28.67,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,5,1237.8337574333334,2357,50.32,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,6,1351.8192555166665,1128,24.24,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,7,1293.0200509833332,1953,40.99,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,8,1236.6817822,1745,38.25,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,9,1268.8745989333333,1275,26.96,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
11,10,1281.9728288833332,1901,39.92,40,5000,0.5,2.0,0.05,800,999999,300,0.4,60,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
12,1,1228.46596505,1639,34.32,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,2,1174.4868516333333,1949,41.16,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,3,1213.89930545,2598,55.43,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,4,1293.2638497,1660,35.25,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,5,1227.4012488,1826,39.23,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,6,1239.9822053166665,1516,33.18,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,7,1223.3417697833333,1705,36.73,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,8,1342.5443342833335,1069,24.22,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,9,1154.1732410500001,1758,36.78,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
12,10,1245.5083703166667,3962,83.43,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
13,1,1235.4819596666666,1969,45.74,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,2,1290.6226681500002,2113,46.82,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,3,1205.3589378833335,1593,34.21,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,4,1308.5936506333335,2333,51.32,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,5,1335.2956548,2137,46.11,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,6,1269.2794925,1773,37.44,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,7,1263.1489987999998,1499,31.97,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,8,1218.65405505,2083,44.69,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,9,1349.2805298333333,1656,35.14,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
13,10,1178.5110622833336,2104,45.15,40,5000,0.5,2.0,0.05,800,999999,450,0.4,90,999999,0.6,0.5,"(6, 20)",1000.0,0.01,10.0
14,1,1315.4862377,1661,35.14,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,2,1345.4368651500001,1292,27.87,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,3,1324.1456389666666,1502,31.84,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,4,1313.7102539666666,1931,40.92,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,5,1369.575492,1864,39.52,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,6,1386.8173166166666,866,18.73,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,7,1352.8366383833336,1391,29.58,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,8,1349.80452955,1158,24.56,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,9,1400.7069140166666,1372,29.68,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
14,10,1354.4364053166667,1036,21.93,40,5000,0.5,2.0,0.05,800,999999,999999,0.4,0,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,1,1245.6566442500002,1523,32.47,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,2,1328.3195290166666,1455,30.87,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,3,1180.6479708666666,2279,48.75,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,4,1146.0303979166667,2708,61.54,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,5,1179.559858,2831,64.2,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
15,6,1107.00940875,1714,35.78,40,5000,0.5,2.0,0.05,1200,999999,150,0.4,30,999999,0.3,0.5,"(6, 20)",1000.0,0.01,10.0
